ID,SVET,LVET,LAT,LAT2,LON,LON2,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
34031,693,1445,45.504355,45.50367,11.174901,11.169443,274.4,274.4,1.9266201,0.99
34032,711,1445,45.504569,45.503884,11.176515,11.171057,275.1,275.1,1.7672452,0.98
34033,734,1445,45.504838,45.504153,11.178538,11.17308,274.1,274.1,1.7572415,0.98
34034,760,1445,45.505135,45.50445,11.180776,11.175318,270.6,270.6,1.786883,0.98
34035,766,1445,45.505203,45.504518,11.181284,11.175826,269.4,269.4,1.8004295,0.97
34036,773,1445,45.505285,45.5046,11.181897,11.176439,269,269,1.8007708,0.96
34037,806,1445,45.505771,45.505086,11.185559,11.180101,305.5,305.5,1.900014,0.95
34038,815,1445,45.505938,45.505253,11.186826,11.181368,328.9,328.9,1.8841058,0.95
34039,837,1445,45.506431,45.505746,11.190548,11.18509,417.3,417.3,1.8684889,0.92
34040,874,1445,45.50697,45.506285,11.194609,11.189151,456.4,456.4,1.753991,0.8
34041,881,1445,45.507011,45.506326,11.194914,11.189456,440.7,440.7,1.7971546,0.84
34042,932,1445,45.507329,45.506644,11.197298,11.19184,334.2,334.2,1.8892772,0.93
34043,938,1445,45.507392,45.506707,11.197773,11.192315,331.3,331.3,1.8874033,0.93
34044,996,1445,45.507904,45.507219,11.201624,11.196166,267.2,267.2,2.1749079,0.89
34045,1050,1445,45.50888,45.508195,11.208995,11.203537,397.2,397.2,2.2369429,0.87
34046,1053,1445,45.508939,45.508254,11.209441,11.203983,406.3,406.3,2.3125859,0.88
34047,162,1446,45.4981,45.497415,11.127722,11.122264,284.1,284.1,1.9068817,0.83
34048,175,1446,45.49823,45.497545,11.12869,11.123232,274.5,274.5,1.9368271,0.84
34049,230,1446,45.498726,45.498041,11.132406,11.126948,215.1,215.1,1.9248749,0.85
34050,237,1446,45.497321,45.496636,11.121806,11.116348,-336.8,-336.8,2.2274961,0.75
34051,251,1446,45.498851,45.498166,11.133339,11.127881,168.5,168.5,2.0355057,0.84
34052,292,1446,45.499547,45.498862,11.138565,11.133107,245.3,245.3,2.141479,0.86
34053,298,1446,45.499665,45.49898,11.13945,11.133992,262.5,262.5,1.8979214,0.9
34054,330,1446,45.500199,45.499514,11.143466,11.138008,319.5,319.5,1.7939668,0.92
34055,402,1446,45.501338,45.500653,11.152031,11.146573,425.3,425.3,1.7986188,0.97
34056,422,1446,45.501499,45.500814,11.153237,11.147779,396.7,396.7,1.7136548,0.95
34057,489,1446,45.502163,45.501478,11.158221,11.152763,347.8,347.8,1.7817543,0.97
34058,493,1446,45.502203,45.501518,11.158516,11.153058,344.7,344.7,1.8004532,0.97
34059,538,1446,45.502591,45.501906,11.161424,11.155966,290.2,290.2,1.8074862,0.95
34060,540,1446,45.502612,45.501927,11.161587,11.156129,289.5,289.5,1.7966611,0.95
34061,550,1446,45.502722,45.502037,11.162409,11.156951,286.1,286.1,1.8032782,0.96
34062,608,1446,45.503384,45.502699,11.167385,11.161927,276.9,276.9,1.7436404,0.99
34063,619,1446,45.503498,45.502813,11.168239,11.162781,270.6,270.6,1.7838086,0.99
34064,639,1446,45.503747,45.503062,11.170112,11.164654,275.3,275.3,1.7197067,0.99
34065,660,1446,45.503996,45.503311,11.171988,11.16653,275.7,275.7,1.7290795,0.99
34066,671,1446,45.504129,45.503444,11.172984,11.167526,276.6,276.6,1.8070743,0.98
34067,678,1446,45.504209,45.503524,11.173586,11.168128,275.6,275.6,1.7721773,0.99
34068,681,1446,45.504243,45.503558,11.173842,11.168384,275.1,275.1,1.7770534,0.99
34069,684,1446,45.504277,45.503592,11.1741,11.168642,274.7,274.7,1.7911632,0.99
34070,712,1446,45.50461,45.503925,11.176603,11.171145,275.4,275.4,1.7469933,0.98
34071,742,1446,45.504957,45.504272,11.179215,11.173757,272.9,272.9,1.7528368,0.98
34072,744,1446,45.50498,45.504295,11.179387,11.173929,272.6,272.6,1.7419306,0.98
34073,768,1446,45.505254,45.504569,11.18145,11.175992,269.2,269.2,1.8003355,0.97
34074,823,1446,45.50613,45.505445,11.188052,11.182594,355,355,1.895248,0.9
