corine_code,label,pct_tinitaly_greater,pct_copernicus_greater,pct_statistically_equal,total_area_km2
311,Broad-leaved forest,2.1447982040963836,65.04173529881918,32.813466497084434,14.388300000000001
221,Vineyards,3.8326003810396942,8.327006546433841,87.84039307252647,13.9618
243,"Land principally occupied by agriculture, with significant areas of natural vegetation",5.595667870036101,21.936478319068673,72.46785381089522,9.8612
231,Pastures,8.765573685033623,18.967314809988007,72.26711150497836,3.8366000000000002
112,Discontinuous urban fabric,0.5426619506759048,23.164882019477687,76.2924560298464,2.0639000000000003
242,Complex cultivation patterns,4.768574096305189,9.257036147792451,85.97438975590237,1.4994
223,Olive groves,8.774406022112444,7.402179879244099,83.82341409864345,1.2753
312,Coniferous forest,1.0,73.92391304347827,25.07608695652174,0.92
331,"Beaches, dunes, sands",16.5374677002584,0.8397932816537468,82.62273901808786,0.774
Unknown_0,Unknown,5.0918466000644536,26.522719948436997,68.38543345149854,0.3103
313,Mixed forest,0.8715300193673339,61.71723692704971,37.411233053582954,0.3098
