corine_code,label,total_cells,void_cells,occupied_cells,pct_of_lc_that_is_void,pct_of_total_voids,area_km2
255,Unknown_255,174194,155470,18724,89.25106490464654,34.03414140794998,17.4194
221,Unknown_221,141192,119229,21963,84.44458609552949,26.100576612391254,14.119200000000001
243,Unknown_243,115252,104206,11046,90.41578454169992,22.811871998178656,11.5252
231,Unknown_231,41527,37351,4176,89.94389192573506,8.176556349960377,4.1527
112,Unknown_112,20703,17219,3484,83.1715210355987,3.7694338515693753,2.0703
242,Unknown_242,15069,12221,2848,81.10027208175725,2.6753151228311363,1.5069000000000001
223,Unknown_223,13026,11110,1916,85.29095654844159,2.432104657119215,1.3026
