corine_code,label,total_area_km2,pct_tinitaly_greater,pct_copernicus_greater,pct_roughly_equal
311,Broad-leaved forest,14.388300000000001,11.378689629768632,79.3040178478347,9.31729252239667
221,Vineyards,13.9618,31.353407153805385,33.740635161655376,34.90595768453924
243,"Land principally occupied by agriculture, with significant areas of natural vegetation",9.8612,32.0741897537825,44.50573966657202,23.42007057964548
231,Pastures,3.8366000000000002,41.53156440598447,38.01282385445447,20.455611739561068
112,Discontinuous urban fabric,2.0639000000000003,10.489849314404767,67.06235767236784,22.447793013227386
242,Complex cultivation patterns,1.4994,32.76643990929705,29.29171668667467,37.94184340402828
223,Olive groves,1.2753,49.462871481220105,22.598604249980397,27.938524268799497
312,Coniferous forest,0.92,5.206521739130435,86.66304347826087,8.130434782608695
331,"Beaches, dunes, sands",0.774,59.80620155038759,15.503875968992247,24.689922480620154
Unknown_0,Unknown,0.3103,26.522719948436997,50.59619722848856,22.881082823074443
313,Mixed forest,0.3098,9.199483537766302,81.79470626210458,9.005810200129115
