ID,SVET,LVET,LAT,LON,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
14188,647,1758,45.511966,11.163004,7.2,7.2,1.8158992,0.92
14569,680,1788,45.513207,11.165709,7.2,7.2,1.7370913,0.98
14982,644,1822,45.513743,11.16224,7.2,7.2,1.8008217,0.95
14992,629,1823,45.513594,11.160897,7.2,7.2,1.7549811,0.97
15379,618,1853,45.514314,11.159685,7.2,7.2,1.8741472,0.86
3388,376,787,45.481241,11.146363,7.3,7.3,1.8125195,0.9
3509,1055,795,45.489498,11.206672,7.3,7.3,1.9591658,0.77
5601,785,949,45.490681,11.181544,7.3,7.3,1.9541833,0.85
13404,726,1695,45.511116,11.170524,7.3,7.3,1.8477501,0.88
14394,694,1774,45.512976,11.167065,7.3,7.3,1.7454867,0.98
14441,698,1778,45.513137,11.167391,7.3,7.3,1.8508026,0.91
